code,ts_code,name,source,effective_date,fetched_at
300413,300413.SZ,芒果超媒,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300418,300418.SZ,昆仑万维,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300433,300433.SZ,蓝思科技,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300442,300442.SZ,润泽科技,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300450,300450.SZ,先导智能,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300476,300476.SZ,胜宏科技,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300498,300498.SZ,温氏股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300502,300502.SZ,新易盛,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300628,300628.SZ,亿联网络,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300661,300661.SZ,圣邦股份,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300750,300750.SZ,宁德时代,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300760,300760.SZ,迈瑞医疗,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300803,300803.SZ,指南针,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300832,300832.SZ,新产业,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300866,300866.SZ,安克创新,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300896,300896.SZ,爱美客,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
300999,300999.SZ,金龙鱼,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
301165,301165.SZ,锐捷网络,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
301236,301236.SZ,软通动力,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
301269,301269.SZ,华大九天,tushare_index_weight_000300.SH_20260630,20260630,2026-07-28T19:40:14+08:00
